timestamp,sat_id,sqrtA,a,e,i,RAAN,omega,M
2024-01-04 05:59:44,G24,,,,,,,
2024-01-04 06:00:00,G24,5153.624099731,26559841.36132816,0.01503763499204,0.933573892357,1.415711058734,0.957425690543,-2.392841117654
2024-01-04 07:59:44,G24,,,,,,,
2024-01-04 08:00:00,G24,5153.621986389,26559819.578592103,0.01503773604054,0.9335726488767,1.415654202423,0.9575013599807,-1.34270246865
2024-01-04 09:14:40,G24,,,,,,,
2024-01-04 09:59:44,G24,,,,,,,
2024-01-04 10:00:00,G24,5153.622821808,26559828.189460248,0.01503824035171,0.9335696586721,1.415593447435,0.9574919929162,-0.2924755266882
2024-01-04 10:14:40,G24,,,,,,,
2024-01-04 11:59:44,G24,,,,,,,
2024-01-04 12:00:00,G24,5153.621627808,26559815.88261038,0.01503767666873,0.9335680421476,1.415532421807,0.9574704499846,0.7577633073348
2024-01-04 13:29:36,G24,,,,,,,
2024-01-04 13:59:44,G24,,,,,,,
2024-01-04 14:00:00,G24,5153.62369919,26559837.232852817,0.0150377912214,0.933567318003,1.41547032971,0.957544628709,1.80790756663
2024-01-04 15:59:44,G24,,,,,,,
2024-01-04 16:00:00,G24,5153.622854233,26559828.523672692,0.01503826887347,0.9335677539528,1.415412074851,0.957533229651,2.85813467829
2024-01-04 17:59:44,G24,5153.622472763,26559824.591767814,0.01503849879373,0.9335672638752,1.415353603479,0.9575281898983,-2.377162508189
2024-01-04 18:00:00,G24,5153.62247467,26559824.611423735,0.01503849774599,0.9335672638752,1.415353474742,0.9575284239651,-2.374828889064
2024-01-04 19:59:44,G24,5153.620296478,26559802.160269983,0.01503870182205,0.9335664314748,1.415296090317,0.9576039324818,-1.327021657493
2024-01-04 20:00:00,G24,,,,,,,
2024-01-04 21:59:44,G24,,,,,,,
2024-01-04 22:00:00,G24,5153.621486664,26559814.42780486,0.01503929961473,0.9335641537114,1.415235130521,0.9575843703412,-0.2744495920186
2024-01-04 23:59:44,G24,,,,,,,
2024-01-05 00:00:00,G24,5153.620946884,26559808.864161532,0.0150390593335,0.9335627888088,1.415174681283,0.9575688370771,0.7757832118561
2024-01-03 23:59:44,G25,,,,,,,
2024-01-04 00:00:00,G25,5153.62949562,26559896.978124455,0.0117028234527,0.951374954574,2.54108094583,1.06379835106,-1.14474796476
2024-01-04 01:59:44,G25,,,,,,,
2024-01-04 02:00:00,G25,5153.629205704,26559893.98988524,0.01170265232213,0.9513755397414,2.541020168901,1.063801192047,-0.09453957845577
2024-01-04 03:29:36,G25,,,,,,,
2024-01-04 03:59:44,G25,5153.633394241,26559937.162236013,0.01170456630643,0.9513758059925,2.540960388216,1.063891209785,0.9532457459173
2024-01-04 04:00:00,G25,5153.633396149,26559937.181902274,0.0117045660736,0.9513758030666,2.540960255091,1.063890582193,0.9555801286851
2024-01-04 05:59:44,G25,5153.632555008,26559928.512038287,0.01170483930036,0.9513771372479,2.540899750262,1.06385140671,2.003493193602
2024-01-04 06:00:00,G25,,,,,,,
2024-01-04 07:59:44,G25,,,,,,,
2024-01-04 08:00:00,G25,5153.63317871,26559934.94070054,0.011704406701,0.95137834123,2.54084203376,1.06384872372,3.05603668536
2024-01-04 09:14:40,G25,,,,,,,
2024-01-04 09:59:44,G25,,,,,,,
2024-01-04 10:00:00,G25,5153.63133812,26559915.969252538,0.0117051609559,0.9513792058141,2.540784048071,1.063911414147,-2.177004175271
2024-01-04 10:14:40,G25,,,,,,,
2024-01-04 11:59:44,G25,,,,,,,
2024-01-04 12:00:00,G25,5153.631370544,26559916.303455226,0.01170549390372,0.9513785050763,2.540726508577,1.063906443151,-1.1267908048
2024-01-04 13:29:36,G25,,,,,,,
2024-01-04 13:59:44,G25,,,,,,,
2024-01-04 14:00:00,G25,5153.630708694,26559909.481593817,0.0117051230045,0.9513780135359,2.540665759441,1.063913051152,-0.07658767768133
2024-01-04 15:59:44,G25,,,,,,,
2024-01-04 16:00:00,G25,5153.63445282,26559948.0732933,0.01170677680057,0.9513775527167,2.540605538418,1.064003215182,0.9735309703069
2024-01-04 17:59:44,G25,,,,,,,
2024-01-04 18:00:00,G25,5153.633218765,26559935.35355809,0.01170711335726,0.9513787098849,2.540544934111,1.063945640578,2.023796186594
2024-01-04 19:59:44,G25,,,,,,,
2024-01-04 20:00:00,G25,5153.63404274,26559943.846488636,0.01170655025635,0.9513794559731,2.540487252714,1.063942363641,3.074006855056
2024-01-04 21:59:44,G25,,,,,,,
2024-01-04 22:00:00,G25,5153.631586075,26559918.52498992,0.01170755561907,0.9513806438626,2.540428560441,1.064024869295,-2.15905325904
2024-01-04 23:59:44,G25,,,,,,,
2024-01-05 00:00:00,G25,5153.632043839,26559923.24328415,0.01170795829967,0.9513809145024,2.540370766399,1.064000636057,-1.108820301559
2024-01-03 23:59:44,G26,,,,,,,
2024-01-04 00:00:00,G26,5153.563951492,26559221.40211784,0.008727098465897,0.9321007996825,2.4813044922,0.5117399222847,-1.961777348724
2024-01-04 01:59:44,G26,5153.562152863,26559202.863421917,0.008727269945666,0.9321019100374,2.481244575465,0.5118526474373,-0.9139700630246
2024-01-04 02:00:00,G26,5153.562150955,26559202.843755927,0.008727272506803,0.9321019071115,2.481244430636,0.5118519905871,-0.9116354520415
2024-01-04 03:29:36,G26,,,,,,,
2024-01-04 03:59:44,G26,5153.563570023,26559217.470268205,0.008727903943509,0.9321026385706,2.481182936874,0.5118062114916,0.136330315962
2024-01-04 04:00:00,G26,,,,,,,
2024-01-04 05:59:44,G26,,,,,,,
2024-01-04 06:00:00,G26,5153.566143036,26559243.99064695,0.008728808956221,0.9321030642797,2.48112242912,0.5119225134789,1.188800154184
2024-01-04 07:59:44,G26,,,,,,,
2024-01-04 08:00:00,G26,5153.567598343,26559258.99069084,0.008729013614357,0.9321032720141,2.481061078724,0.5120156004192,2.238958063967
2024-01-04 09:14:40,G26,,,,,,,
2024-01-04 09:59:44,G26,,,,,,,
2024-01-04 10:00:00,G26,5153.56586647,26559241.140044685,0.008729817578569,0.9321039244755,2.481001243912,0.5119593731628,-2.993919940234
